,GEO,Value
1139,PL424,1738.6
1140,PL426,82.4
1141,PL427,42.6
1142,PL428,69.1
1143,PL431,63.5
1144,PL432,80.4
1145,PL514,2193.4
1146,PL515,101.9
1147,PL516,130.0
1148,PL517,158.7
1149,PL518,89.7
1150,PL523,91.7
1151,PL524,111.5
1152,PL613,269.5
1153,PL616,97.5
1154,PL617,92.8
1155,PL618,57.0
1156,PL619,101.7
1157,PL621,73.9
1158,PL622,61.2
1159,PL623,48.4
1160,PL633,1847.4
1161,PL634,130.8
1162,PL636,64.8
1163,PL637,55.6
1164,PL638,106.1
1165,PL711,2413.1
1166,PL712,174.1
1167,PL713,99.6
1168,PL714,79.7
1169,PL715,90.0
1170,PL721,152.8
1171,PL722,73.2
1172,PL811,51.4
1173,PL812,68.4
1174,PL814,169.4
1175,PL815,87.1
1176,PL821,86.4
1177,PL822,91.6
1178,PL823,174.4
1179,PL824,136.4
1180,PL841,98.2
1181,PL842,44.8
1182,PL843,44.0
1183,PL911,3410.0
1184,PL912,198.9
1185,PL913,251.6
1186,PL921,107.7
1187,PL922,65.4
1188,PL923,100.6
1189,PL924,59.5
1190,PL925,69.9
1191,PL926,103.3
1192,PT111,107.7
1193,PT112,327.6
1194,PT119,290.1
1195,PT11A,850.6
1196,PT11B,31.1
1197,PT11C,233.0
1198,PT11D,49.2
1199,PT11E,20.4
1200,PT150,88.4
1201,PT16B,161.8
1202,PT16D,215.8
1203,PT16E,102.9
1204,PT16F,118.5
1205,PT16G,80.6
1206,PT16H,18.4
1207,PT16I,71.9
1208,PT16J,35.7
1209,PT170,931.5
1210,PT181,18.2
1211,PT184,14.4
1212,PT185,57.3
1213,PT186,18.6
1214,PT187,21.8
1215,PT200,106.3
1216,PT300,324.6
1217,RO111,77.3
1218,RO112,53.7
1219,RO113,106.3
1220,RO114,75.4
1221,RO115,78.2
1222,RO116,57.7
1223,RO121,54.5
1224,RO122,103.9
1225,RO123,56.5
1226,RO124,47.0
1227,RO125,82.3
1228,RO126,74.5
1229,RO211,93.6
1230,RO212,82.8
1231,RO213,146.9
1232,RO214,79.5
1233,RO215,74.9
1234,RO216,74.4
1235,RO221,69.5
1236,RO222,73.2
1237,RO223,103.0
1238,RO224,121.5
1239,RO225,41.2
1240,RO226,70.9
1241,RO311,89.4
1242,RO312,62.4
1243,RO313,129.6
1244,RO314,82.0
1245,RO315,62.1
1246,RO316,162.0
1247,RO317,64.6
1248,RO321,10050.1
1249,RO322,269.6
1250,RO411,90.0
1251,RO412,60.0
1252,RO413,54.2
1253,RO414,79.2
1254,RO415,64.6
1255,RO421,56.1
1256,RO422,34.1
1257,RO423,57.9
1258,RO424,81.3
1259,SI031,88.1
1260,SI032,150.8
1261,SI033,69.1
1262,SI034,111.0
1263,SI035,120.1
1264,SI036,78.8
1265,SI037,53.4
1266,SI038,36.6
1267,SI041,228.9
1268,SI042,96.0
1269,SI043,51.1
1270,SI044,108.2
1271,SK010,302.9
1272,SK021,134.6
1273,SK022,131.5
1274,SK023,108.1
1275,SK031,101.4
1276,SK032,69.4
1277,SK041,91.3
1278,SK042,117.7
1279,FI193,16.5
1280,FI194,14.4
1281,FI195,23.3
1282,FI196,28.7
1283,FI197,39.9
1284,FI1B1,175.3
1285,FI1C1,44.3
1286,FI1C2,33.7
1287,FI1C3,39.5
1288,FI1C4,35.0
1289,FI1C5,24.8
1290,FI1D1,10.7
1291,FI1D2,14.8
1292,FI1D3,9.3
1293,FI1D4,3.7
1294,FI1D5,13.7
1295,FI1D6,11.4
