GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CH,7164444,7204055,7255653,7313853,7364148,7415102,7459128,7508739,7593494,7701856,7785806,7870134,7954662,8039060,8139631,8237666,8327126,8419550,8484130
CH0,7164444,7204055,7255653,7313853,7364148,7415102,7459128,7508739,7593494,7701856,7785806,7870134,7954662,8039060,8139631,8237666,8327126,8419550,8484130
CH01,1294974,1305284,1317017,1331131,1348106,1362754,1376306,1389988,1408796,1437592,1462210,1483680,1503500,1519189,1545817,1570594,1593839,1613522,1629841
CH011,616275,619097,624980,631039,639105,647382,654093,662145,672039,688245,701526,713281,725944,734356,749373,761446,773407,784822,793129
CH012,275632,276314,278419,281345,285008,287976,291575,294608,298580,303241,307392,312684,317022,321732,327011,331763,335696,339176,341463
CH013,403067,408146,413618,418747,423993,427396,430638,433235,438177,446106,453292,457715,460534,463101,469433,477385,484736,489524,495249
CH02,1656109,1658575,1667070,1675111,1681531,1690135,1696509,1703966,1715800,1730412,1741923,1755696,1770429,1788791,1808480,1826251,1842251,1859557,1868886
CH021,943427,944024,946310,949590,951957,955378,957064,958897,962982,969299,974235,979802,985046,992617,1001281,1009418,1017483,1026513,1031126
CH022,234307,237044,240339,243400,246656,250377,253954,258252,263241,268537,273159,278493,284668,291395,297622,303377,307461,311914,315074
CH023,243908,243668,245264,246280,246807,247379,247937,248613,250240,251830,252748,255284,256990,259283,261437,263719,266418,269441,271432
CH024,165649,165456,166227,166767,167047,167910,168444,168912,169782,170924,171647,172085,173183,174554,176402,177327,178107,178567,177964
CH025,68818,68923,68930,69074,69064,69091,69110,69292,69555,69822,70134,70032,70542,70942,71738,72410,72782,73122,73290
CH03,987699,992009,997850,1005450,1011729,1017180,1021034,1026801,1035934,1049518,1060753,1070820,1079913,1091302,1104353,1117158,1128723,1142156,1151919
CH031,188458,187422,186469,186719,186653,186753,185601,184822,185227,186672,187898,184950,186255,187425,189335,190580,191817,193070,193908
CH032,258602,259634,261083,262949,264402,265305,266089,267166,269145,271214,272815,274404,275360,276537,278656,281301,283231,285624,287023
CH033,540639,543685,550298,555782,560674,565122,569344,574813,581562,591632,600040,611466,618298,627340,636362,645277,653675,663462,670988
CH04,1198569,1211647,1226931,1241312,1249893,1261810,1272590,1284052,1307567,1332727,1351297,1373068,1392396,1408575,1425538,1446354,1466424,1487969,1504346
CH040,1198569,1211647,1226931,1241312,1249893,1261810,1272590,1284052,1307567,1332727,1351297,1373068,1392396,1408575,1425538,1446354,1466424,1487969,1504346
CH05,1041863,1043836,1045895,1051164,1056524,1059586,1061852,1065253,1073904,1085698,1094202,1103641,1113929,1123672,1134781,1144572,1153485,1162684,1169358
CH051,38708,38196,38216,38322,38502,38317,38173,38084,38237,38370,38479,38608,39217,39369,39593,39794,40028,40147,40349
CH052,73552,73025,73229,73834,73968,73788,73764,73866,74527,75303,75657,76356,77139,77955,78783,79417,79836,80769,81351
CH053,53737,53479,53138,53097,52976,52841,52561,52509,52654,53054,53043,53017,53313,53438,53691,54064,54543,54954,55178
CH054,14946,15012,14977,14985,15010,15029,15220,15300,15471,15549,15681,15688,15743,15717,15778,15854,15974,16003,16105
